IB (A),IA (A),ang (deg),Coil A flux (Wb),Coil B flux (Wb),Coil C flux (Wb)
2,-4,0,-0.04583631553002042,0.03504686907914382,0.014067529189426936
3,-4,0,-0.045827837696915105,0.03544060600236224,0.013480964624573908
4,-4,0,-0.0458188281359455,0.035829349202731425,0.012892670943414493
5,-4,0,-0.04580907065362777,0.03621681293573563,0.012303720555085022
6,-4,0,-0.04579902104252401,0.03660394356524279,0.011713784212288327
7,-4,0,-0.045788035673261084,0.036983664056829325,0.011123382452906387
8,-4,0,-0.04577490002380528,0.037347759114340746,0.010534464696789562
9,-4,0,-0.04576057950812247,0.03770307282229217,0.009945971616560469
10,-4,0,-0.045746143952692386,0.03805420328044847,0.009357116254825406
-10,-3,0,-0.045674712277809074,0.029656284132315625,0.02045836214893022
-9,-3,0,-0.045667769787384,0.030141300279437813,0.0199093609737628
-8,-3,0,-0.04566082511667144,0.03062056688660239,0.01933701003055291
-7,-3,0,-0.04565421869936693,0.031098762766053254,0.018759862972298404
-6,-3,0,-0.04564739843974042,0.031570111939099345,0.018181293548453208
-5,-3,0,-0.04564050658968081,0.03203939063113827,0.01759983951603287
-4,-3,0,-0.045632891720353286,0.03250668776472272,0.017015726285339094
-3,-3,0,-0.04562508160066282,0.032956820284235404,0.016431703904838564
-2,-3,0,-0.045617737804647486,0.03339272019021433,0.015846761277217958
